Product ID,Title,URL
online:en:IE:79703,FAIMFKIT4 FAITHFULL MULTI TOOL BLADE SET FLOOR KIT 4PC,https://www.kennyfuels.ie/product/multi-function-tool-flooring-blade-set-4-piece/
online:en:IE:80060,DHT043224 DEWALT BOX BEAM LEVEL - 60CM / 2FT,https://www.kennyfuels.ie/product/box-beam-level-60cm/
online:en:IE:79683,FAIJBT301CD FAITHFULL JIGSAW BLADES (5) WOOD T301CD,https://www.kennyfuels.ie/product/wood-jigsaw-blades-pack-of-5-8/
online:en:IE:79679,FAIJBT144D FAITHFULL JIGSAW BLADES (5) WOOD T144D,https://www.kennyfuels.ie/product/wood-jigsaw-blades-pack-of-5-6/
online:en:IE:79677,FAIJBT118A FAITHFULL JIGSAW BLADES (5) METAL T118A,https://www.kennyfuels.ie/product/metal-cutting-jigsaw-blades-pack-of-5-3/
online:en:IE:80121,DHT042525 DEWALT 165MM/6.5IN BILLET TORPEDO LEVEL,https://www.kennyfuels.ie/product/billet-level-165mm-6-5in/
online:en:IE:79657,FAIJBT101BR FAITHFULL JIGSAW BLADES (5) LAMINATE/WOOD T101BR,https://www.kennyfuels.ie/product/laminate-wood-jigsaw-blades-pack-of-5/
online:en:IE:80070,DHT010990 DEWALT TOUGHSERIES RETRACTABLE KNIFE,https://www.kennyfuels.ie/product/toughseries-heavy-duty-retractable-utility-knife/
online:en:IE:80091,DHT916852 DEWALT WOOD CHISEL 6PC SET,https://www.kennyfuels.ie/product/wood-chisel-set-6-piece/
online:en:IE:79626,FAIRB51 FAITHFULL ROUTER BIT TC V GROOVE 13.0MM X 19.1MM,https://www.kennyfuels.ie/product/router-bit-tct-v-groove-13-0mm-x-19-1mm-1-4in-shank/
online:en:IE:79855,FAIPLUG12 FAITHFULL PLUG CUTTER NO.12,https://www.kennyfuels.ie/product/plug-cutter-no-12/
online:en:IE:80115,DHT074431 DEWALT V-JAW PUSH LOCK PLIERS 250MM,https://www.kennyfuels.ie/product/v-jaw-push-lock-pliers-250mm/
online:en:IE:79663,FAIJBT111C FAITHFULL JIGSAW BLADES (5) WOOD T111C,https://www.kennyfuels.ie/product/wood-jigsaw-blades-pack-of-5-3/
online:en:IE:80079,DHT010123 DEWALT FOLDING JABSAW AND RASP,https://www.kennyfuels.ie/product/folding-jab-saw-with-rasp/
online:en:IE:79672,FAIJBT119B FAITHFULL JIGSAW BLADES (5) WOOD T119B,https://www.kennyfuels.ie/product/wood-jigsaw-blades-pack-of-5-4/
online:en:IE:80125,DHT014673 DEWALT ERGO AVIATION SNIP - LEFT,https://www.kennyfuels.ie/product/left-cut-ergo-aviation-snips/
online:en:IE:79856,FAIPLUG13MM FAITHFULL PLUG CUTTER 13MM,https://www.kennyfuels.ie/product/plug-cutter-13mm/
online:en:IE:80072,DHT010998 DEWALT RETRACTABLE BLADE UTILITY KNIFE,https://www.kennyfuels.ie/product/retractable-utility-knife/
